label,latitude,longitude,description,category,link
JustCo – 120 Robinson Road Coworking & Office Space,1.2754624,103.8352732,Premium office space provider,Coworking,"https://www.google.com/maps/place/JustCo+%E2%80%93+120+Robinson+Road+%7C+Coworking+%26+Office+Space/@1.2790497,103.8461456,17z/data=!3m2!4b1!5s0x31da190d910e8e03:0xc8b1addadac6332f!4m6!3m5!1s0x31da19126dd3b1db:0xbc38dc622c57e3f2!8m2!3d1.2790497!4d103.8487259!16s%2Fg%2F11cllhbvny?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
One&Co,1.2754624,103.8430248,Innovation-driven coworking space,Coworking,"https://www.google.com/maps/place/One%26Co/@1.2754624,103.8430248,17z/data=!3m2!4b1!5s0x31da19135cbefc41:0x29aaa090ba952361!4m6!3m5!1s0x31da19ca34d62117:0x665aa4b7f43203f4!8m2!3d1.2754624!4d103.8456051!16s%2Fg%2F11fn46g61v?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
the Hive Carpenter,1.3463472,103.3091843,Chic coworking with rooftop,Coworking,"https://www.google.com/maps/place/the+Hive+Carpenter/@1.288044,103.8451357,17z/data=!3m2!4b1!5s0x31da190a8a9c3acd:0x8009c65e7c441fb1!4m6!3m5!1s0x31da19220a8f35bb:0x1f9d0dd4da93e1ec!8m2!3d1.288044!4d103.847716!16s%2Fg%2F11gl3chdyc?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
WeWork - Office Space & Coworking,1.2936125,103.8263645,Global coworking brand,Coworking,"https://www.google.com/maps/place/WeWork+-+Office+Space+%26+Coworking/@1.288044,103.8373841,15z/data=!4m10!1m2!2m1!1sWeWork+-+Office+Space+%26+Coworking!3m6!1s0x31da191d2766bbdf:0xac13dc300c6b0d31!8m2!3d1.29142!4d103.84985!15sCiFXZVdvcmsgLSBPZmZpY2UgU3BhY2UgJiBDb3dvcmtpbmciA4gBAVohIh93ZXdvcmsgb2ZmaWNlIHNwYWNlICYgY293b3JraW5nkgEPY293b3JraW5nX3NwYWNl4AEA!16s%2Fg%2F11h008q9d9?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Vertical Space,1.3327988,103.6322822,Versatile workspaces for professionals,Coworking,"https://www.google.com/maps/place/Vertical+Space/@1.3327988,103.6956199,17z/data=!3m2!4b1!5s0x31da0f8ed3dd69b5:0xa1d59dfd7df9422a!4m6!3m5!1s0x31da0fee0d35cc99:0x8bee53abb544037d!8m2!3d1.3327988!4d103.6982002!16s%2Fg%2F11mbpvqgsd?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
O2Work,1.2967119,103.8442401,Sustainable coworking & events,Coworking,"https://www.google.com/maps/place/O2Work+-+Singapore+Swimming+Club/@1.2967119,103.8442401,14z/data=!3m1!5s0x31da19ab276538f5:0x80e7f661e56947b7!4m12!1m2!2m1!1sO2Work!3m8!1s0x31da19d7bf454ecb:0xedd03a826da78611!8m2!3d1.2973997!4d103.8811539!9m1!1b1!15sCgZPMldvcmuSAQ9jb3dvcmtpbmdfc3BhY2XgAQA!16s%2Fg%2F11rmr6hb7x?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
library@chinatown,1.2852093,103.8421425,Cultural library in Chinatown,Library,"https://www.google.com/maps/place/library@chinatown/@1.2852093,103.8421425,17z/data=!3m1!5s0x31da190b4c7c2e15:0xb7a0bbba386f7599!4m6!3m5!1s0x31da190b4ba233db:0xf03b25f6f4ad6563!8m2!3d1.2852093!4d103.8447228!16s%2Fg%2F11f31808vg?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
library@harbourfront,1.2636837,103.8208182,Waterfront library with views,Library,"https://www.google.com/maps/place/library@harbourfront/@1.2636837,103.8208182,17z/data=!3m2!4b1!5s0x31da19589a627ead:0xfd38f5ec90da9d74!4m6!3m5!1s0x31da1941f56cc20d:0xc9c81525dca6d2e1!8m2!3d1.2636837!4d103.8233985!16s%2Fg%2F11h2p_gzv0?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Toa Payoh Public Library,1.3335425,103.8479265,Community library in Toa Payoh,Library,"https://www.google.com/maps/place/Toa+Payoh+Public+Library/@1.3335425,103.8479265,17z/data=!3m1!4b1!4m6!3m5!1s0x31da179699d0eec7:0xcd361c367de8de86!8m2!3d1.3335425!4d103.8505068!16s%2Fg%2F11nl6lpmc5?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Ang Mo Kio Public Library,1.3748331,103.8429227,Neighborhood library in Ang Mo Kio,Library,"https://www.google.com/maps/place/Ang+Mo+Kio+Public+Library/@1.3748331,103.8429227,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16e82fffffff:0xdcdf99218bb7d884!8m2!3d1.3748331!4d103.845503!16zL20vMGd4N2c5?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Clementi Public Library,1.3147165,103.7614901,Westside library with study areas,Library,"https://www.google.com/maps/place/Clementi+Public+Library/@1.3147165,103.7614901,17z/data=!3m2!4b1!5s0x31da1a8e2f099f31:0xf60c56e436dd2839!4m6!3m5!1s0x31da1a8e2e400001:0x55ff8fed54e212bd!8m2!3d1.3147165!4d103.7640704!16s%2Fg%2F11g0q_gxkb?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Serangoon Public Library,1.3502127,103.8703066,Suburban library with events,Library,"https://www.google.com/maps/place/Serangoon+Public+Library/@1.3502127,103.8703066,17z/data=!3m2!4b1!5s0x31da17a6b61e1b5f:0xd57ea669879f0285!4m6!3m5!1s0x31da17a6bc1520c7:0x4b50192aa1643368!8m2!3d1.3502127!4d103.8728869!16s%2Fg%2F1v1shqpj?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Yishun Public Library,1.4294929,103.8338204,Spacious library with study spots,Library,"https://www.google.com/maps/place/Yishun+Public+Library/@1.4294929,103.8338204,17z/data=!3m1!4b1!4m6!3m5!1s0x31da14630815a705:0x353feda9aed50668!8m2!3d1.4294929!4d103.8364007!16s%2Fg%2F1tl1fc_z?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Pasir Ris Public Library,1.3723308,103.9472692,Library near the beach,Library,"https://www.google.com/maps/place/Pasir+Ris+Public+Library/@1.3723308,103.9472692,17z/data=!3m2!4b1!5s0x31da3daffc82a7ab:0x9cd27a14e8df40c7!4m6!3m5!1s0x31da3daffbbf7db7:0xd7dac07fa20629d!8m2!3d1.3723308!4d103.9498495!16s%2Fg%2F11j3mfk672?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Geylang East Public Library,1.3174565,103.8831571,Reading hub in Geylang,Library,"https://www.google.com/maps/place/Geylang+East+Public+Library/@1.3174565,103.8831571,17z/data=!3m2!4b1!5s0x31da1824a8239b27:0x14c776931f70d31c!4m6!3m5!1s0x31da182350d32443:0xe83a32c0193f72ba!8m2!3d1.3174565!4d103.8857374!16s%2Fg%2F11h8ydb72k?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Sembawang Public Library,1.4482825,103.8169768,Library in northern Singapore,Library,"https://www.google.com/maps/place/Sembawang+Public+Library/@1.4482825,103.8169768,17z/data=!3m2!4b1!5s0x31da137d304e7d7d:0x4266b2121c4e5538!4m6!3m5!1s0x31da137d301ea25b:0xe25912e338ed8f89!8m2!3d1.4482825!4d103.8195571!16s%2Fm%2F0wz0mmd?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
